MANUFACTURERE,CAR,a,b
.28571,-180061.071429
BMW,X1,3179373.42857,-244625.678571
BMW,X3,5620004.66667,-578572.428571
BMW,X5,8164186.04651,-853953.488372
BMW,Z4,8486200.8,-691193.057143
Renault,Kwid,359079.0,13377.0
Renault,Pulse,809524.285714,-86309.7142857
Renault,Scala,627799.7,-2007.1
Renault,Lodgy,982189.0,38072.0
Renault,Duster,820994.2,-10701.4
Renault,Fluence,1340751.1,-119125.3
Renault,Koleos,2506667.4,-215000.2
Hyundai,Eon,415754.8,-34979.2285714
Hyundai,I10,406861.857143,-17778.4642857
Hyundai,Xcent,564082.657143,44135.9428571
Hyundai,Verna,1184627.85714,-111326.714286
Hyundai,Elantra,1767311.9,-166868.5
Audi,Q3,3105165.8,-119749.8
Audi,A4,4156245.85714,-415463.178571
Audi,Q5,4859108.14286,-396890.142857
Audi,A6,4735531.97143,-433865.771429
Audi,Q7,6216707.92381,-480219.057143
Honda,Brio,590330.6,-45929.3142857
Honda,Amaze,742509.7,-54684.3
Honda,Jazz,838108.987578,-76414.6770186
Honda,Mobilio,1106792.33333,-114014.0
Honda,City,1224218.42857,-117937.071429
Honda,Accord,4164534.0,-567828.0
Fiat,Linea,618556.1,-44873.1
Skoda,Rapid,1165133.86667,-126632.342857
Skoda,Octavia,2310581.70755,-268338.443396
Skoda,Yeti,2439905.06211,-287683.614907
Skoda,Superb,2249932.37143,-234383.971429
Maruti Suzuki,Alto 800,352950.428571,-25875.4642857
Maruti Suzuki,Omni,308266.142857,-20804.5714286
Maruti Suzuki,Eeco,415560.857143,-29759.9642857
Maruti Suzuki,Celerio,496272.0,-15113.7
Maruti Suzuki,Swift,667490.857143,-45209.0357143
Maruti Suzuki,Baleno,908450.0,-100973.5
Maruti Suzuki,Ertiga,886012.1,-52825.5
Maruti Suzuki,Ciaz,997620.0,-67960.5
Nissan,Micra,637155.714286,-57913.8214286
Nissan,Sunny,970004.866667,-97120.9142857
Nissan,Terrano,1236889.0,-86628.2
Volkswagen,Polo,838481.142857,-78357.25
Volkswagen,Vento,1169479.71429,-115983.107143
Volkswagen,Jetta,2400572.28571,-261057.678571
Volkswagen,Beetle,816666.666667,125000.0
Mahindra,Thar,869687.333333,-44415.1428571
Mahindra,Bolero,827338.285714,-55987.5
Mahindra,Verito,865305.571429,-93664.4642857
Mahindra,Xylo,814374.857143,-64807.7857143
Mahindra,Scorpio,1316453.85714,-113920.25
Mahindra,Xuv500,1756504.86667,-169279.771429
Tata,Nano,283336.714286,-35546.6071429
Tata,Venture,291247.8,-11248.9
Tata,Zest,742567.0,-57302.0
Tata,Safari,964313.5,-81501.3
Tata,Aria,677257.142857,-27057.1428571
Ford,Figo,596377.428571,-48550.9642857
Ford,Ecosport,995713.4,-54366.4
Ford,Endeavour,2764807.24286,-306571.671429
Toyota,Fortuner,3185862.14286,-278757.75
Chevrolet,Spark,430159.657143,-39979.2285714
Chevrolet,Beat,531149.714286,-47887.3571429
Chevrolet,Sail,478789.5,-8795.5
Chevrolet,Enjoy,825187.0,-103853.0
Chevrolet,Tavera,999036.571429,-84462.5714286
